time,metabolite,mass_isotopologue,fraction
1,BPG,M+3,3.43830626699567e-05
2,BPG,M+0,0.998900088449048
2,BPG,M+1,0
2,BPG,M+2,0
2,BPG,M+3,0.00109991155095188
5,BPG,M+0,0.937846597177865
5,BPG,M+1,0
5,BPG,M+2,0
5,BPG,M+3,0.0621534028221354
10,BPG,M+0,0.532414474819421
10,BPG,M+1,0
10,BPG,M+2,0
10,BPG,M+3,0.467585525180579
15,BPG,M+0,0.177718090858681
15,BPG,M+1,0
15,BPG,M+2,0
15,BPG,M+3,0.822281909141319
20,BPG,M+0,0.0420740691815797
20,BPG,M+1,0
20,BPG,M+2,0
20,BPG,M+3,0.95792593081842
30,BPG,M+0,0.00132740865226276
30,BPG,M+1,0
30,BPG,M+2,0
30,BPG,M+3,0.998672591347737
40,BPG,M+0,2.18893065949991e-05
40,BPG,M+1,0
40,BPG,M+2,0
40,BPG,M+3,0.999978110693405
60,BPG,M+0,1.83864259897435e-07
60,BPG,M+1,0
60,BPG,M+2,0
60,BPG,M+3,0.99999981613574
80,BPG,M+0,5.40296907315892e-08
80,BPG,M+1,0
80,BPG,M+2,0
80,BPG,M+3,0.999999945970309
120,BPG,M+0,0
120,BPG,M+1,0
120,BPG,M+2,0
120,BPG,M+3,1
160,BPG,M+0,0
160,BPG,M+1,0
160,BPG,M+2,0
160,BPG,M+3,1
0,3PG,M+0,1
0,3PG,M+1,0
0,3PG,M+2,0
0,3PG,M+3,0
1,3PG,M+0,0.999995178607989
1,3PG,M+1,0
1,3PG,M+2,0
1,3PG,M+3,4.82139201116001e-06
2,3PG,M+0,0.999707902392967
2,3PG,M+1,0
2,3PG,M+2,0
2,3PG,M+3,0.000292097607033222
5,3PG,M+0,0.967087719605547
5,3PG,M+1,0
5,3PG,M+2,0
5,3PG,M+3,0.0329122803944532
10,3PG,M+0,0.624745225713866
10,3PG,M+1,0
10,3PG,M+2,0
10,3PG,M+3,0.375254774286134
15,3PG,M+0,0.233624796742627
15,3PG,M+1,0
15,3PG,M+2,0
15,3PG,M+3,0.766375203257373
20,3PG,M+0,0.0599802884179395
20,3PG,M+1,0
20,3PG,M+2,0
20,3PG,M+3,0.940019711582061
30,3PG,M+0,0.00208565763783578
30,3PG,M+1,0
30,3PG,M+2,0
30,3PG,M+3,0.997914342362164
40,3PG,M+0,3.66765876735932e-05
40,3PG,M+1,0
40,3PG,M+2,0
40,3PG,M+3,0.999963323412326
60,3PG,M+0,3.14845882524827e-07
60,3PG,M+1,0
60,3PG,M+2,0
60,3PG,M+3,0.999999685154118
80,3PG,M+0,8.73224783593035e-08
80,3PG,M+1,0
80,3PG,M+2,0
80,3PG,M+3,0.999999912677522
120,3PG,M+0,0
120,3PG,M+1,0
120,3PG,M+2,0
120,3PG,M+3,1
160,3PG,M+0,0
160,3PG,M+1,0
160,3PG,M+2,0
160,3PG,M+3,1
0,2PG,M+0,1
0,2PG,M+1,0
0,2PG,M+2,0
0,2PG,M+3,0
1,2PG,M+0,0.999999402952673
1,2PG,M+1,0
1,2PG,M+2,0
1,2PG,M+3,5.97047326681027e-07
2,2PG,M+0,0.999932438668922
2,2PG,M+1,0
2,2PG,M+2,0
2,2PG,M+3,6.75613310781506e-05
5,2PG,M+0,0.983812776150141
5,2PG,M+1,0
5,2PG,M+2,0
5,2PG,M+3,0.0161872238498592
10,2PG,M+0,0.710960552291429
10,2PG,M+1,0
10,2PG,M+2,0
10,2PG,M+3,0.289039447708572
15,2PG,M+0,0.299149344227733
15,2PG,M+1,0
15,2PG,M+2,0
15,2PG,M+3,0.700850655772267
20,2PG,M+0,0.0837977177986846
20,2PG,M+1,0
20,2PG,M+2,0
20,2PG,M+3,0.916202282201315
30,2PG,M+0,0.0032384814457292
30,2PG,M+1,0
30,2PG,M+2,0
30,2PG,M+3,0.996761518554271
40,2PG,M+0,6.10171991300367e-05
40,2PG,M+1,0
40,2PG,M+2,0
40,2PG,M+3,0.99993898280087
60,2PG,M+0,5.35359788442746e-07
60,2PG,M+1,0
60,2PG,M+2,0
60,2PG,M+3,0.999999464640212
80,2PG,M+0,1.39655699488774e-07
80,2PG,M+1,0
80,2PG,M+2,0
80,2PG,M+3,0.9999998603443
120,2PG,M+0,0
120,2PG,M+1,0
120,2PG,M+2,0
120,2PG,M+3,1
160,2PG,M+0,0
160,2PG,M+1,0
160,2PG,M+2,0
160,2PG,M+3,1
0,PEP,M+0,1
0,PEP,M+1,0
0,PEP,M+2,0
0,PEP,M+3,0
1,PEP,M+0,0.999999946987729
1,PEP,M+1,0
1,PEP,M+2,0
1,PEP,M+3,5.30122715449645e-08
2,PEP,M+0,0.999985722167214
2,PEP,M+1,0
2,PEP,M+2,0
2,PEP,M+3,1.42778327859562e-05
5,PEP,M+0,0.992570044808185
5,PEP,M+1,0
5,PEP,M+2,0
5,PEP,M+3,0.00742995519181506
10,PEP,M+0,0.787526290909512
10,PEP,M+1,0
10,PEP,M+2,0
10,PEP,M+3,0.212473709090488
15,PEP,M+0,0.372908862146459
15,PEP,M+1,0
15,PEP,M+2,0
15,PEP,M+3,0.627091137853541
20,PEP,M+0,0.114603960785918
20,PEP,M+1,0
20,PEP,M+2,0
20,PEP,M+3,0.885396039214082
30,PEP,M+0,0.00496531168818478
30,PEP,M+1,0
30,PEP,M+2,0
30,PEP,M+3,0.995034688311815
40,PEP,M+0,0.000100741205154497
40,PEP,M+1,0
40,PEP,M+2,0
40,PEP,M+3,0.999899258794846
60,PEP,M+0,9.03411186709584e-07
60,PEP,M+1,0
60,PEP,M+2,0
60,PEP,M+3,0.999999096588813
80,PEP,M+0,2.20812224230413e-07
80,PEP,M+1,0
80,PEP,M+2,0
80,PEP,M+3,0.999999779187776
120,PEP,M+0,0
120,PEP,M+1,0
120,PEP,M+2,0
120,PEP,M+3,1
160,PEP,M+0,0
160,PEP,M+1,0
160,PEP,M+2,0
160,PEP,M+3,1
0,pyruvate,M+0,1
0,pyruvate,M+1,0
0,pyruvate,M+2,0
0,pyruvate,M+3,0
1,pyruvate,M+0,0.999999995239058
1,pyruvate,M+1,0
1,pyruvate,M+2,0
1,pyruvate,M+3,4.76094192764101e-09
2,pyruvate,M+0,0.999997473955834
2,pyruvate,M+1,0
2,pyruvate,M+2,0
2,pyruvate,M+3,2.52604416612632e-06
5,pyruvate,M+0,0.996822244196153
5,pyruvate,M+1,0
5,pyruvate,M+2,0
5,pyruvate,M+3,0.00317775580384741
10,pyruvate,M+0,0.849905887094642
10,pyruvate,M+1,0
10,pyruvate,M+2,0
10,pyruvate,M+3,0.150094112905358
15,pyruvate,M+0,0.452490336315014
15,pyruvate,M+1,0
15,pyruvate,M+2,0
15,pyruvate,M+3,0.547509663684987
20,pyruvate,M+0,0.153277885022171
20,pyruvate,M+1,0
20,pyruvate,M+2,0
20,pyruvate,M+3,0.846722114977829
30,pyruvate,M+0,0.00751095210676654
30,pyruvate,M+1,0
30,pyruvate,M+2,0
30,pyruvate,M+3,0.992489047893234
40,pyruvate,M+0,0.000164976558920201
40,pyruvate,M+1,0
40,pyruvate,M+2,0
40,pyruvate,M+3,0.99983502344108
60,pyruvate,M+0,1.51194627322805e-06
60,pyruvate,M+1,0
60,pyruvate,M+2,0
60,pyruvate,M+3,0.999998488053727
80,pyruvate,M+0,3.44797879780336e-07
80,pyruvate,M+1,0
80,pyruvate,M+2,0
80,pyruvate,M+3,0.99999965520212
120,pyruvate,M+0,0
120,pyruvate,M+1,0
120,pyruvate,M+2,0
120,pyruvate,M+3,1
160,pyruvate,M+0,0
160,pyruvate,M+1,0
160,pyruvate,M+2,0
160,pyruvate,M+3,1
0,AcCoA,M+0,1
0,AcCoA,M+1,0
0,AcCoA,M+2,0
1,AcCoA,M+0,0.999999999788247
1,AcCoA,M+1,0
1,AcCoA,M+2,2.11752517750503e-10
2,AcCoA,M+0,0.999999597163949
2,AcCoA,M+1,0
2,AcCoA,M+2,4.02836050730027e-07
5,AcCoA,M+0,0.998723283479034
5,AcCoA,M+1,0
5,AcCoA,M+2,0.00127671652096553
10,AcCoA,M+0,0.898662574828212
10,AcCoA,M+1,0
10,AcCoA,M+2,0.101337425171788
15,AcCoA,M+0,0.534651846668151
15,AcCoA,M+1,0
15,AcCoA,M+2,0.465348153331849
20,AcCoA,M+0,0.200324164144469
20,AcCoA,M+1,0
20,AcCoA,M+2,0.799675835855531
30,AcCoA,M+0,0.0112000194553396
30,AcCoA,M+1,0
30,AcCoA,M+2,0.98879998054466
40,AcCoA,M+0,0.000267824088925744
40,AcCoA,M+1,0
40,AcCoA,M+2,0.999732175911074
60,AcCoA,M+0,2.50778393165826e-06
60,AcCoA,M+1,0
60,AcCoA,M+2,0.999997492216068
80,AcCoA,M+0,5.31097894860596e-07
80,AcCoA,M+1,0
80,AcCoA,M+2,0.999999468902105
120,AcCoA,M+0,0
120,AcCoA,M+1,0
120,AcCoA,M+2,1
160,AcCoA,M+0,0
160,AcCoA,M+1,0
160,AcCoA,M+2,1
0,citrate,M+0,1
0,citrate,M+1,0
0,citrate,M+2,0
0,citrate,M+3,0
0,citrate,M+4,0
0,citrate,M+5,0
0,citrate,M+6,0
1,citrate,M+0,0.999999999992565
1,citrate,M+1,0
1,citrate,M+2,7.43540013288418e-12
1,citrate,M+3,0
1,citrate,M+4,0
1,citrate,M+5,0
1,citrate,M+6,0
2,citrate,M+0,0.99999994697167
2,citrate,M+1,0
2,citrate,M+2,5.30283302941406e-08
2,citrate,M+3,0
2,citrate,M+4,4.43727196250007e-21
2,citrate,M+5,0
2,citrate,M+6,0
5,citrate,M+0,0.999518887126209
5,citrate,M+1,4.20225883199066e-11
5,citrate,M+2,0.000481112425748452
5,citrate,M+3,5.60258078767543e-14
5,citrate,M+4,4.05963711032789e-10
5,citrate,M+5,7.45269943692582e-18
5,citrate,M+6,6.71831915616774e-31
10,citrate,M+0,0.9343627770496
10,citrate,M+1,6.93405863243965e-06
10,citrate,M+2,0.0655292726304842
10,citrate,M+3,6.5453313631763e-07
10,citrate,M+4,0.00010036172781983
10,citrate,M+5,0
10,citrate,M+6,3.27443710437311e-13
15,citrate,M+0,0.596204522726134
15,citrate,M+1,0.000500527863701951
15,citrate,M+2,0.389623178409961
15,citrate,M+3,0.000480739262591458
15,citrate,M+4,0.0130993363535467
15,citrate,M+5,9.16075906970375e-05
15,citrate,M+6,8.77933685136683e-08
20,citrate,M+0,0.215996635813329
20,citrate,M+1,0.00186390731987608
20,citrate,M+2,0.658061862085457
20,citrate,M+3,0.00755690147757494
20,citrate,M+4,0.110779658072852
20,citrate,M+5,0.00568489048675508
20,citrate,M+6,5.6144744156055e-05
30,citrate,M+0,0.00929928058725902
30,citrate,M+1,0.000208968126289784
30,citrate,M+2,0.552127526759463
30,citrate,M+3,0.0138622515274045
30,citrate,M+4,0.300024567622067
30,citrate,M+5,0.11464561041167
30,citrate,M+6,0.00983179496584675
40,citrate,M+0,0.000217089077689754
40,citrate,M+1,6.55525395416704e-07
40,citrate,M+2,0.5028572503376
40,citrate,M+3,0.00162315028928163
40,citrate,M+4,0.264427986660395
40,citrate,M+5,0.181996826335627
40,citrate,M+6,0.0488770417740113
60,citrate,M+0,2.04836645959512e-06
60,citrate,M+1,0
60,citrate,M+2,0.500029599761909
60,citrate,M+3,1.80428651867674e-05
60,citrate,M+4,0.250144009408957
60,citrate,M+5,0.167942201613471
